VALUE,COUNT,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL
450,116,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
451,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture
452,340,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE
453,125,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Developed-Medium Intensity,Developed-Medium Intensity,Urban
454,2,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,A
455,66,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Developed-Medium Intensity,Developed-Medium Intensity,Urban
456,51,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Developed-High Intensity,Developed-High Intensity,Urban
457,209,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,UN
458,443,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Developed-Medium Intensity,Developed-Medium Intensity,Urban
459,383,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban
460,3960,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,A
461,1,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,UE
462,3,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Alkaline Fen,Riparian,UN
